Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","572","Avocados","2020","2020","tonnes","1004962","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","572","Avocados","2020","2020","tonnes","606","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1039","Bacon and ham","2020","2020","tonnes","477","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1039","Bacon and ham","2020","2020","tonnes","10666","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","486","Bananas","2020","2020","tonnes","395919","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","486","Bananas","2020","2020","tonnes","73","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","44","Barley","2020","2020","tonnes","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","44","Barley","2020","2020","tonnes","30917","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","46","Barley, pearled","2020","2020","tonnes","175","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","176","Beans, dry","2020","2020","tonnes","24233","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","176","Beans, dry","2020","2020","tonnes","107640","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","414","Beans, green","2020","2020","tonnes","76613","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","414","Beans, green","2020","2020","tonnes","4190","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5907","Export Quantity","1181","Beehives","2020","2020","No","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","51","Beer of barley","2020","2020","tonnes","3089012","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","51","Beer of barley","2020","2020","tonnes","23342","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1183","Beeswax","2020","2020","tonnes","152","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","169","Beet pulp","2020","2020","tonnes","4004","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","169","Beet pulp","2020","2020","tonnes","7538","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","634","Beverages, distilled alcoholic","2020","2020","tonnes","208392","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","634","Beverages, distilled alcoholic","2020","2020","tonnes","9146","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","633","Beverages, non alcoholic","2020","2020","tonnes","536964","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","633","Beverages, non alcoholic","2020","2020","tonnes","108892","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","552","Blueberries","2020","2020","tonnes","51319","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","552","Blueberries","2020","2020","tonnes","144","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","59","Bran, maize","2020","2020","tonnes","8682","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","17","Bran, wheat","2020","2020","tonnes","16061","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","20","Bread","2020","2020","tonnes","1652","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","20","Bread","2020","2020","tonnes","2129","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","181","Broad beans, horse beans, dry","2020","2020","tonnes","344","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","181","Broad beans, horse beans, dry","2020","2020","tonnes","79","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","89","Buckwheat","2020","2020","tonnes","90","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5908","Export Quantity","946","Buffaloes","2020","2020","Head","1162","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","946","Buffaloes","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","21","Bulgur","2020","2020","tonnes","3167","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","886","Butter, cow milk","2020","2020","tonnes","20","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","886","Butter, cow milk","2020","2020","tonnes","1984","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","893","Buttermilk, curdled, acidified milk","2020","2020","tonnes","2167","Im","FAO data based on imputation methodology"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","893","Buttermilk, curdled, acidified milk","2020","2020","tonnes","6977","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","358","Cabbages and other brassicas","2020","2020","tonnes","419815","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","358","Cabbages and other brassicas","2020","2020","tonnes","11242","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","332","Cake, cottonseed","2020","2020","tonnes","61769","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","245","Cake, groundnuts","2020","2020","tonnes","3042","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","259","Cake, palm kernel","2020","2020","tonnes","370","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","272","Cake, rapeseed","2020","2020","tonnes","47","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","272","Cake, rapeseed","2020","2020","tonnes","5997","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","238","Cake, soybeans","2020","2020","tonnes","1756990","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","269","Cake, sunflower","2020","2020","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5908","Export Quantity","1126","Camels","2020","2020","Head","19","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1126","Camels","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","101","Canary seed","2020","2020","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","101","Canary seed","2020","2020","tonnes","2048","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","426","Carrots and turnips","2020","2020","tonnes","107804","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","426","Carrots and turnips","2020","2020","tonnes","8783","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","230","Cashew nuts, shelled","2020","2020","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","230","Cashew nuts, shelled","2020","2020","tonnes","244","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","217","Cashew nuts, with shell","2020","2020","tonnes","19","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5608","Import Quantity","866","Cattle","2020","2020","Head","680197","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","866","Cattle","2020","2020","tonnes","315292","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5908","Export Quantity","866","Cattle","2020","2020","Head","32977","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","866","Cattle","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","393","Cauliflowers and broccoli","2020","2020","tonnes","82671","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","393","Cauliflowers and broccoli","2020","2020","tonnes","4793","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","113","Cereal preparations nes","2020","2020","tonnes","14","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","113","Cereal preparations nes","2020","2020","tonnes","137657","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","41","Cereals, breakfast","2020","2020","tonnes","70791","Im","FAO data based on imputation methodology"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","41","Cereals, breakfast","2020","2020","tonnes","14952","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","907","Cheese, processed","2020","2020","tonnes","59","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","907","Cheese, processed","2020","2020","tonnes","3257","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","901","Cheese, whole cow milk","2020","2020","tonnes","1858","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","901","Cheese, whole cow milk","2020","2020","tonnes","89733","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","531","Cherries","2020","2020","tonnes","992","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","530","Cherries, sour","2020","2020","tonnes","209","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","220","Chestnut","2020","2020","tonnes","25","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","191","Chick peas","2020","2020","tonnes","13011","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","191","Chick peas","2020","2020","tonnes","136","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5909","Export Quantity","1057","Chickens","2020","2020","1000 Head","3791","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1057","Chickens","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","689","Chillies and peppers, dry","2020","2020","tonnes","57805","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","689","Chillies and peppers, dry","2020","2020","tonnes","1056","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","401","Chillies and peppers, green","2020","2020","tonnes","1010146","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","401","Chillies and peppers, green","2020","2020","tonnes","1621","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","666","Chocolate products nes","2020","2020","tonnes","169040","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","666","Chocolate products nes","2020","2020","tonnes","41536","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","517","Cider etc","2020","2020","tonnes","108221","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","517","Cider etc","2020","2020","tonnes","438","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","828","Cigarettes","2020","2020","tonnes","6880","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","828","Cigarettes","2020","2020","tonnes","227","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","829","Cigars, cheroots","2020","2020","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","829","Cigars, cheroots","2020","2020","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","693","Cinnamon (cannella)","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","693","Cinnamon (cannella)","2020","2020","tonnes","638","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","698","Cloves","2020","2020","tonnes","19","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","698","Cloves","2020","2020","tonnes","15","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","661","Cocoa, beans","2020","2020","tonnes","40","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","661","Cocoa, beans","2020","2020","tonnes","5","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","664","Cocoa, butter","2020","2020","tonnes","788","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","664","Cocoa, butter","2020","2020","tonnes","162","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","662","Cocoa, paste","2020","2020","tonnes","28","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","662","Cocoa, paste","2020","2020","tonnes","187","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","665","Cocoa, powder & cake","2020","2020","tonnes","103","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","665","Cocoa, powder & cake","2020","2020","tonnes","10722","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","249","Coconuts","2020","2020","tonnes","17603","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","249","Coconuts","2020","2020","tonnes","34","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","250","Coconuts, desiccated","2020","2020","tonnes","381","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","250","Coconuts, desiccated","2020","2020","tonnes","39","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","659","Coffee, extracts","2020","2020","tonnes","17628","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","659","Coffee, extracts","2020","2020","tonnes","2270","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","656","Coffee, green","2020","2020","tonnes","47838","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","656","Coffee, green","2020","2020","tonnes","1362","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","660","Coffee, husks and skins","2020","2020","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","657","Coffee, roasted","2020","2020","tonnes","11954","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","657","Coffee, roasted","2020","2020","tonnes","2563","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","658","Coffee, substitutes containing coffee","2020","2020","tonnes","10","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","658","Coffee, substitutes containing coffee","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","767","Cotton lint","2020","2020","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","767","Cotton lint","2020","2020","tonnes","110463","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","769","Cotton waste","2020","2020","tonnes","2527","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","769","Cotton waste","2020","2020","tonnes","3816","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","768","Cotton, carded, combed","2020","2020","tonnes","561","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","768","Cotton, carded, combed","2020","2020","tonnes","68","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","329","Cottonseed","2020","2020","tonnes","4803","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","329","Cottonseed","2020","2020","tonnes","42629","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","554","Cranberries","2020","2020","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","554","Cranberries","2020","2020","tonnes","154","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","885","Cream fresh","2020","2020","tonnes","10710","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","885","Cream fresh","2020","2020","tonnes","20836","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","397","Cucumbers and gherkins","2020","2020","tonnes","789313","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","397","Cucumbers and gherkins","2020","2020","tonnes","44","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","550","Currants","2020","2020","tonnes","33","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","577","Dates","2020","2020","tonnes","6478","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","577","Dates","2020","2020","tonnes","9544","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","654","Dregs from brewing, distillation","2020","2020","tonnes","1742136","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5909","Export Quantity","1068","Ducks","2020","2020","1000 Head","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1068","Ducks","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","399","Eggplants (aubergines)","2020","2020","tonnes","70211","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","399","Eggplants (aubergines)","2020","2020","tonnes","7","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1064","Eggs, dried","2020","2020","tonnes","3339","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1062","Eggs, hen, in shell","2020","2020","tonnes","62283","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1063","Eggs, liquid","2020","2020","tonnes","6230","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1091","Eggs, other bird, in shell","2020","2020","tonnes","8524","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1243","Fat nes, prepared","2020","2020","tonnes","174","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1243","Fat nes, prepared","2020","2020","tonnes","2151","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1037","Fat, pigs","2020","2020","tonnes","14","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1037","Fat, pigs","2020","2020","tonnes","21980","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1276","Fatty acids","2020","2020","tonnes","668","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1276","Fatty acids","2020","2020","tonnes","46829","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1277","Fatty substance residues","2020","2020","tonnes","7","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1277","Fatty substance residues","2020","2020","tonnes","865","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","846","Feed and meal, gluten","2020","2020","tonnes","33822","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","845","Feed, compound nes","2020","2020","tonnes","4667","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","845","Feed, compound nes","2020","2020","tonnes","93057","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","628","Feed, pulp of fruit","2020","2020","tonnes","1985","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","652","Feed, vegetable products nes","2020","2020","tonnes","689","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","652","Feed, vegetable products nes","2020","2020","tonnes","1607","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","821","Fibre crops nes","2020","2020","tonnes","1544","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","821","Fibre crops nes","2020","2020","tonnes","149","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","569","Figs","2020","2020","tonnes","224","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","570","Figs dried","2020","2020","tonnes","358","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","570","Figs dried","2020","2020","tonnes","606","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","773","Flax fibre and tow","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","771","Flax fibre raw","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","774","Flax tow waste","2020","2020","tonnes","0","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","111","Flour, cereals","2020","2020","tonnes","406","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","111","Flour, cereals","2020","2020","tonnes","6313","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","58","Flour, maize","2020","2020","tonnes","231166","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","58","Flour, maize","2020","2020","tonnes","71539","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","295","Flour, mustard","2020","2020","tonnes","2640","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","117","Flour, potatoes","2020","2020","tonnes","448","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","117","Flour, potatoes","2020","2020","tonnes","18791","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","212","Flour, pulses","2020","2020","tonnes","43","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","212","Flour, pulses","2020","2020","tonnes","277","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","150","Flour, roots and tubers nes","2020","2020","tonnes","9","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","16","Flour, wheat","2020","2020","tonnes","43615","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","16","Flour, wheat","2020","2020","tonnes","204948","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","1232","Food prep nes","2020","2020","tonnes","246180","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1232","Food prep nes","2020","2020","tonnes","321479","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","115","Food preparations, flour, malt extract","2020","2020","tonnes","7180","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","115","Food preparations, flour, malt extract","2020","2020","tonnes","11156","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","651","Forage products","2020","2020","tonnes","58451","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","651","Forage products","2020","2020","tonnes","1811","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","166","Fructose and syrup, other","2020","2020","tonnes","32208","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","166","Fructose and syrup, other","2020","2020","tonnes","939307","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","626","Fruit, cooked, homogenized preparations","2020","2020","tonnes","454","","Official data"
